Posizione,ID_Giocatore,Nome_Giocatore,Nazionalità,Team_Pokémon
1,1170,Mattie Morgan,Ireland,"Flutter Mane, Amoonguss, Arcanine, Palafin, Pelipper, Iron Hands"
2,1066,Marco Hemantha Kaladura Silva,Italy,"Flutter Mane, Kingambit, Chi-Yu, Iron Bundle, Great Tusk, Talonflame"
3,1499,Maurice Uteg,Germany,"Flutter Mane, Amoonguss, Paldean Tauros Blaze Breed, Iron Bundle, Grimmsnarl, Gholdengo"
4,99,Pontus Westerlund,Sweden,"Flutter Mane, Amoonguss, Arcanine, Palafin, Ting-Lu, Baxcalibur"
5,50,Davide Carrer,Italy,"Flutter Mane, Kingambit, Chien-Pao, Gyarados, Great Tusk, Dragonite"
6,1652,Francesco Iozzia,Italy,"Annihilape, Amoonguss, Arcanine, Iron Bundle, Chien-Pao, Dragonite"
7,1153,Taran Birdee,Great Britain,"Flutter Mane, Amoonguss, Chi-Yu, Gyarados, Great Tusk, Murkrow"
8,1873,Francesco Rasini,Italy,"Flutter Mane, Iron Hands, Chi-Yu, Iron Bundle, Garchomp, Corviknight"
9,106,Luca Ceribelli,Italy,"Flutter Mane, Amoonguss, Chi-Yu, Gyarados, Ting-Lu, Iron Hands"
10,64,Leonardo Bonanomi,Italy,"Flutter Mane, Kingambit, Chien-Pao, Gyarados, Great Tusk, Dragonite"
11,33,Eric Rios,Spain,"Flutter Mane, Amoonguss, Chi-Yu, Gyarados, Ting-Lu, Iron Hands"
12,102,Bartosz Ekiert,Poland,"Flutter Mane, Kingambit, Chi-Yu, Iron Bundle, Great Tusk, Talonflame"
13,1091,Roberto Parente,Italy,"Flutter Mane, Amoonguss, Chi-Yu, Gyarados, Kingambit, Iron Hands"
14,1503,Giulio Tarlao,Italy,"Annihilape, Amoonguss, Arcanine, Iron Bundle, Chien-Pao, Dragonite"
15,1141,Lauri Halonen,Finland,"Flutter Mane, Amoonguss, Chi-Yu, Dondozo, Tatsugiri Droopy Form, Iron Hands"
16,1,Baris Akcos,Germany,"Flutter Mane, Jumpluff, Torkoal, Chien-Pao, Great Tusk, Kingambit"
17,22,Alessio Yuri Boschetto,Italy,"Flutter Mane, Amoonguss, Chi-Yu, Gyarados, Ting-Lu, Iron Hands"
18,1742,Federico Camporesi,Italy,"Annihilape, Amoonguss, Arcanine, Iron Bundle, Chien-Pao, Dragonite"
19,4,Jamie Boyt,Great Britain,"Scream Tail, Brute Bonnet, Torkoal, Dondozo, Tatsugiri, Iron Hands"
20,1147,Giovanni Piscitelli,Italy,"Flutter Mane, Amoonguss, Chi-Yu, Gyarados, Ting-Lu, Iron Hands"
21,1759,Adam Cherfaoui,France,"Flutter Mane, Amoonguss, Chi-Yu, Iron Bundle, Scream Tail, Annihilape"
22,1023,Oliver Eskolin,Finland,"Flutter Mane, Amoonguss, Chi-Yu, Gyarados, Iron Hands, Baxcalibur"
23,2110,Yvar Vlieger,USA,"Annihilape, Dudunsparce, Tatsugiri, Klefki, Ting-Lu, "
24,2039,Quentin Clément,France,"Farigiraf, Maushold, Torkoal, Hatterene, Kingambit, Iron Hands"
25,1847,Nathan Rouby,France,"Kingambit, Amoonguss, Chi-Yu, Iron Bundle, Chien-Pao, Dragonite"
26,73,Luca Lussignoli,Italy,"Flutter Mane, Amoonguss, Chi-Yu, Gyarados, Ting-Lu, Iron Hands"
27,2242,Daniel Daertni,Sweden,"Bronzong, Abomasnow, Iron Hands, Iron Bundle, Ting-Lu, Staraptor"
28,2412,Bendik Gudevold,Norway,"Flutter Mane, Hariyama, Arcanine, Dondozo, Corviknight, Baxcalibur"
29,1758,Alexander Mengarelli,Sweden,"Flutter Mane, Glimmora, Chi-Yu, Dondozo, Tatsugiri Droopy Form, Dragonite"
30,1490,Nikolaj  Høj Nielsen,Denmark,"Flutter Mane, Tsareena, Chi-Yu, Chien-Pao, Great Tusk, Murkrow"
31,2115,Sam Plassgård,Norway,"Flutter Mane, Tsareena, Talonflame, Iron Bundle, Great Tusk, Tyranitar"
32,1024,Nicolas Carvalho,France,"Flutter Mane, Amoonguss, Chi-Yu, Iron Bundle, Scream Tail, Annihilape"
33,1844,Thomas Dowling,Ireland,"Flutter Mane, Amoonguss, Arcanine, Palafin, Ting-Lu, Iron Hands"
34,1995,Timo van  der  Vliet,USA,"Flutter Mane, Amoonguss, Chi-Yu, Gyarados, Ting-Lu, Iron Hands"
35,2248,Frederik  Høj Nielsen,Denmark,"Flutter Mane, Tsareena, Chi-Yu, Chien-Pao, Great Tusk, Murkrow"
36,2413,Lukas Gwiasda,Germany,"Flutter Mane, Lilligant, Torkoal, Chien-Pao, Great Tusk, Dragonite"
37,1837,Sidy Badiane,Italy,"Flutter Mane, Kingambit, Gyarados, Chien-Pao, Great Tusk, Dragonite"
38,2414,Ola Petersen Nordby,Norway,"Flutter Mane, Amoonguss, Chi-Yu, Palafin, Iron Hands, Corviknight"
39,2017,Mikael Viljanen,Finland,"Flutter Mane, Gholdengo, Chi-Yu, Wash Rotom, Great Tusk, Talonflame"
40,2415,Ioannis Mperikakis,Greece,"Flutter Mane, Talonflame, Chi-Yu, Chien-Pao, Iron Bundle, Dragonite"
41,8,Kevin Salvetto,Italy,"Flutter Mane, Jumpluff, Torkoal, Chien-Pao, Great Tusk, Dragonite"
42,1154,Alex Soto,Spain,"Flutter Mane, Amoonguss, Arcanine, Palafin, Ting-Lu, Baxcalibur"
43,2416,Shonali Kenn,Austria,"Flutter Mane, Amoonguss, Arcanine, Palafin, Ting-Lu, Kingambit"
44,37,Arash Ommati,Italy,"Gholdengo, Kingambit, Chien-Pao, Gyarados, Garchomp, Iron Jugulis"
45,1994,Michael Kelsch,Germany,"Flutter Mane, Amoonguss, Gothitelle, Gyarados, Iron Hands, Roaring Moon"
46,420,Ben Markham,Great Britain,"Flutter Mane, Amoonguss, Chi-Yu, Gyarados, Ting-Lu, Iron Bundle"
47,1175,David Barker,Netherlands,"Flutter Mane, Brute Bonnet, Gholdengo, Gyarados, Great Tusk, Murkrow"
48,1827,Aurélien Soula,France,"Flutter Mane, Amoonguss, Arcanine, Palafin, Ting-Lu, Baxcalibur"
49,1853,Wang Shengyu,China,"Flutter Mane, Scizor, Chi-Yu, Iron Bundle, Great Tusk, Murkrow"
50,76,Flavio del Pidio,Italy,"Flutter Mane, Amoonguss, Chi-Yu, Gyarados, Ting-Lu, Iron Hands"
51,1832,Alessandro Marchionne,Italy,"Flutter Mane, Amoonguss, Pelipper, Palafin, Ting-Lu, Iron Hands"
52,1517,Antonio Sánchez,Spain,"Flutter Mane, Amoonguss, Arcanine, Palafin, Ting-Lu, Baxcalibur"
53,1507,Francesco  P Pero,Italy,"Flutter Mane, Amoonguss, Chi-Yu, Gyarados, Ting-Lu, Iron Hands"
54,2417,Magnus Pedersen,Norway,"Flutter Mane, Brute Bonnet, Chi-Yu, Talonflame, Tatsugiri, Baxcalibur"
55,1993,Víctor Jiménez,Spain,"Chien-Pao, Glimmora, Tatsugiri Droopy Form, Dondozo, Ting-Lu, Dragonite"
56,2418,Antonio Grassini,Italy,"Flutter Mane, Amoonguss, Chi-Yu, Gyarados, Iron Hands, Baxcalibur"
57,20,Nils Dunlop,Sweden,"Bronzong, Abomasnow, Iron Hands, Iron Bundle, Ting-Lu, Staraptor"
58,2419,Raj Desai,Ireland,"Flutter Mane, Amoonguss, Talonflame, Iron Bundle, Great Tusk, Kingambit"
59,2420,Audric David,France,"Flutter Mane, Amoonguss, Chi-Yu, Gyarados, Ting-Lu, Iron Hands"
60,1996,Simon Schlütter,Germany,"Flutter Mane, Amoonguss, Chi-Yu, Gyarados, Baxcalibur, Iron Hands"
61,1540,Joan García,Spain,"Flutter Mane, Amoonguss, Chi-Yu, Gyarados, Kingambit, Iron Hands"
62,2421,Noah van  der  Voort,Netherlands,"Flutter Mane, Amoonguss, Chi-Yu, Gyarados, Kingambit, Baxcalibur"
63,1164,Thomas Gravouille,France,"Annihilape, Maushold, Arcanine, Iron Bundle, Gholdengo, Roaring Moon"
64,2422,Dominik Górski,Poland,"Flutter Mane, Amoonguss, Arcanine, Palafin, Chien-Pao, Dragapult"
