Posizione,ID_Giocatore,Nome_Giocatore,Nazionalità,Team_Pokémon
1,1932,Justin Tang,USA,"Flutter Mane, Amoonguss, Arcanine, Palafin, Chien-Pao, Dragapult"
2,1088,Joseph Ugarte,USA,"Flutter Mane, Amoonguss, Talonflame, Iron Bundle, Garchomp, Kingambit"
3,1766,Luka Trejgut,USA,"Flutter Mane, Amoonguss, Arcanine, Palafin, Ting-Lu, Kingambit"
4,666,Fiona Szymkiewicz,Canada,"Flutter Mane, Amoonguss, Chi-Yu, Gyarados, Ting-Lu, Baxcalibur"
5,1675,Nathaniel Sitler,USA,"Flutter Mane, Amoonguss, Chi-Yu, Gyarados, Ting-Lu, Baxcalibur"
6,129,Nick Navarre,USA,"Flutter Mane, Iron Bundle, Gholdengo, Dondozo, Ting-Lu, Dragonite"
7,359,Thomas McCready,USA,"Flutter Mane, Lilligant, Torkoal, Great Tusk, Chien-Pao, Dragonite"
8,1971,Lev Willey,USA,"Glimmora, Maushold, Tatsugiri, Dondozo, Chien-Pao, Dragonite"
9,150,Paul Chua,USA,"Flutter Mane, Amoonguss, Arcanine, Palafin, Ting-Lu, Baxcalibur"
10,1631,Jesse Romolo,Canada,"Glimmora, Iron Treads, Tatsugiri Stretchy Form, Dondozo, Chien-Pao, Dragonite"
11,1687,Thaison Hughes,USA,"Flutter Mane, Amoonguss, Arcanine, Palafin, Ting-Lu, Baxcalibur"
12,188,Alberto Lara,USA,"Corviknight, Klefki, Chi-Yu, Iron Bundle, Garchomp, Roaring Moon"
13,25,Wolfe Glick,USA,"Flutter Mane, Iron Hands, Talonflame, Farigiraf, Chien-Pao, Garchomp"
14,373,Nicholas Borghi,USA,"Mimikyu, Amoonguss, Chi-Yu, Iron Bundle, Iron Hands, Dragonite"
15,313,Jeudy Azzarelli,USA,"Flutter Mane, Brute Bonnet, Chi-Yu, Murkrow, Great Tusk, Corviknight"
16,2169,Jaret Sypert,USA,"Mimikyu, Amoonguss, Arcanine, Iron Bundle, Great Tusk, Kingambit"
17,1465,Nick Sefranek,USA,"Flutter Mane, Brute Bonnet, Chi-Yu, Murkrow, Great Tusk, Gholdengo"
18,1580,Justin Knox,USA,"Flutter Mane, Jumpluff, Torkoal, Great Tusk, Chien-Pao, Kingambit"
19,2170,Brenden King,USA,"Flutter Mane, Dachsbun, Chi-Yu, Azumarill, Chien-Pao, Dragonite"
20,1485,Zee Costagliola,USA,"Flutter Mane, Amoonguss, Arcanine, Palafin, Ting-Lu, Baxcalibur"
21,1939,Olivia Moledzki,Canada,"Flutter Mane, Amoonguss, Arcanine, Palafin, Ting-Lu, Baxcalibur"
22,2171,Skyler Burda,USA,"Flutter Mane, Kingambit, Tyranitar, Wash Rotom, Great Tusk, Corviknight"
23,2172,Bobby Rochelle,USA,"Gholdengo, Amoonguss, Talonflame, Paldean Tauros Aqua Breed, Maushold, Annihilape"
24,2173,Steven Brown,USA,"Flutter Mane, Murkrow, Arcanine, Iron Bundle, Great Tusk, Chi-Yu"
25,2157,Mason Cutler,USA,"Flutter Mane, Maushold, Chi-Yu, Dondozo, Tatsugiri Droopy Form, Vivillon"
