Posizione,ID_Giocatore,Nome_Giocatore,Nazionalità,Team_Pokémon
1,2635,Nader El bacha,Brazil,"Tatsugiri, Tornadus, Chi-Yu, Dondozo, Flutter Mane, Glimmora"
2,2636,Victor Vieira,Brazil,"Gyarados, Ursaluna, Cresselia, Iron Hands, Flutter Mane, Chi-Yu"
3,2637,Rafael Cassemiro Tezzotto,Brazil,"Single Strike Urshifu, Iron Hands, Ursaluna, Cresselia, Heatran, Tornadus"
4,473,Diego Gutierrez,Peru,"Landorus Therian, Iron Hands, Gastrodon, Flutter Mane, Heatran, Chien-Pao"
5,470,Renzo Navarro,Peru,"Iron Hands, Flutter Mane, Rillaboom, Gastrodon, Heatran, Landorus Therian"
6,2638,Thiago Lattanzi,Brazil,"Gastrodon, Rillaboom, Dragonite, Kingambit, Flutter Mane, Heatran"
7,2639,David Assato,Brazil,"Torkoal, Single Strike Urshifu, Maushold, Cresselia, Bruxish, Ursaluna"
8,175,Paul Ruiz,Ecuador,"Amoonguss, Chien-Pao, Rapid Strike Urshifu, Iron Hands, Volcarona, Gothitelle"
9,2640,Pedro Henrique Rubini Cini,Brazil,"Chi-Yu, Flutter Mane, Tatsugiri, Dondozo, Gholdengo, Iron Hands"
10,2641,Breno Silva,Brazil,"Chien-Pao, Flutter Mane, Iron Hands, Amoonguss, Rapid Strike Urshifu, Tornadus"
11,2642,Victor Rachik,Brazil,"Rillaboom, Flutter Mane, Landorus Therian, Tornadus, Rapid Strike Urshifu, Chien-Pao"
12,2643,Júlio Eller,Brazil,"Chi-Yu, Iron Hands, Amoonguss, Flutter Mane, Tornadus, Landorus Therian"
13,1704,Joaquín Salerno,Argentina,"Gholdengo, Brambleghast, Rapid Strike Urshifu, Chi-Yu, Tornadus, Flutter Mane"
14,2644,Leonardo Ritter,Brazil,"Heatran, Landorus Therian, Gastrodon, Kingambit, Amoonguss, Flutter Mane"
15,2645,Guilherme de Oliveira Queiroz,Brazil,"Tornadus, Gholdengo, Amoonguss, Flutter Mane, Landorus Therian, Rapid Strike Urshifu"
16,146,Gabriel Agati,Brazil,"Amoonguss, Landorus Therian, Rapid Strike Urshifu, Chi-Yu, Iron Hands, Tornadus"
17,2646,Telmo Alves Lima Junior,Brazil,"Hisuian Goodra, Flutter Mane, Chien-Pao, Arcanine, Rapid Strike Urshifu, Amoonguss"
18,2647,Carlos Júnior,Brazil,"Heatran, Landorus Therian, Rapid Strike Urshifu, Amoonguss, Tornadus, Flutter Mane"
19,1096,Juan Salerno,Argentina,"Gastrodon, Cresselia, Iron Hands, Landorus Therian, Single Strike Urshifu, Hisuian Arcanine"
20,2552,Raul Gioielli,Brazil,"Rapid Strike Urshifu, Chi-Yu, Tornadus, Flutter Mane, Iron Hands, Amoonguss"
21,469,Cristhian Andrade,Brazil,"Rapid Strike Urshifu, Flutter Mane, Iron Hands, Landorus Therian, Brambleghast, Tornadus"
22,2648,Orlando Gomes Mariano,Brazil,"Landorus Therian, Gholdengo, Tornadus, Regidrago, Rapid Strike Urshifu, Female Indeedee"
23,2649,Tomás Da Cruz,Brazil,"Chien-Pao, Hisuian Arcanine, Rapid Strike Urshifu, Flutter Mane, Rillaboom, Tornadus"
24,2650,Jorge de Souza Junior,Brazil,"Landorus Therian, Rapid Strike Urshifu, Brute Bonnet, Tornadus, Hisuian Goodra, Flutter Mane"
25,2514,Dorian Quiñonez,Peru,"Landorus Therian, Heatran, Gastrodon, Kingambit, Rillaboom, Flutter Mane"
26,3633,Hugo Nascimento Vile dos Santos,Brazil,"Rillaboom, Hisuian Arcanine, Chien-Pao, Flutter Mane, Tornadus, Rapid Strike Urshifu"
27,2652,javier ramirez,Chile,"Tornadus, Gholdengo, Rapid Strike Urshifu, Rillaboom, Landorus Therian, Chien-Pao"
28,2653,João Vitor Antunes,Brazil,"Amoonguss, Rapid Strike Urshifu, Chien-Pao, Flutter Mane, Landorus Therian, Heatran"
29,1480,Stefan Mott,Switzerland,"Flutter Mane, Maushold, Hisuian Arcanine, Annihilape, Rillaboom, Tornadus"
30,2654,Daniel Bezerra,Brazil,"Rapid Strike Urshifu, Armarouge, Tornadus, Ursaluna, Female Indeedee, Roaring Moon"
31,2655,Gian Pierre Gustavo Rodriguez Peralta,Peru,"Heatran, Ursaluna, Landorus Therian, Tornadus, Chien-Pao, Rapid Strike Urshifu"
32,2656,Christian Rangel,Brazil,"Landorus Therian, Tornadus, Amoonguss, Rapid Strike Urshifu, Gholdengo, Flutter Mane"
