Posizione,ID_Giocatore,Nome_Giocatore,Nazionalità,Team_Pokémon
1,1028,James Evans,USA,"Landorus, Wellspring Mask Ogerpon, Flutter Mane, Rillaboom, Kingambit, Gouging Fire"
2,197,Brady Smith,USA,"Chien-Pao, Landorus, Incineroar, Raging Bolt, Rapid Strike Urshifu, Rillaboom"
3,1231,Scott Iwafuchi,USA,"Porygon2, Incineroar, Landorus, Roaring Moon, Amoonguss, Gholdengo"
4,1260,Michael Zhang,USA,"Iron Crown, Hearthflame Mask Ogerpon, Kommo-o, Tyranitar, Female Indeedee, Whimsicott"
5,132,Ashton Cox,USA,"Chien-Pao, Kingambit, Amoonguss, Hearthflame Mask Ogerpon, Rapid Strike Urshifu, Raging Bolt"
6,185,Brandon Tuchtenhagen,USA,"Chien-Pao, Kingambit, Raging Bolt, Hearthflame Mask Ogerpon, Amoonguss, Rapid Strike Urshifu"
7,1784,Neil Patel,Canada,"Rapid Strike Urshifu, Rillaboom, Incineroar, Hearthflame Mask Ogerpon, Tornadus, Flutter Mane"
8,1787,Brandon Davis,USA,"Iron Moth, Gallade, Wellspring Mask Ogerpon, Female Indeedee, Iron Crown, Ursaluna"
9,360,Jean-Marc Hebert,Canada,"Gouging Fire, Wellspring Mask Ogerpon, Rillaboom, Chien-Pao, Landorus, Kingambit"
10,1565,Marcus Dion,Canada,"Amoonguss, Raging Bolt, Rapid Strike Urshifu, Landorus, Pelipper, Hisuian Arcanine"
11,1959,Zachary Mnich,USA,"Rapid Strike Urshifu, Roaring Moon, Amoonguss, Incineroar, Porygon2, Landorus"
12,2065,Kendall Perry,USA,"Single Strike Urshifu, Flutter Mane, Tornadus, Entei, Wellspring Mask Ogerpon, Glimmora"
13,1940,Joshua Denk,USA,"Landorus, Incineroar, Amoonguss, Rapid Strike Urshifu, Gholdengo, Porygon2"
14,2323,Karl Kopczynski,USA,"Dondozo, Ting-Lu, Chien-Pao, Gholdengo, Gouging Fire, Dragonite"
15,3216,Daniel Wyman,USA,"Dondozo, Flutter Mane, Tatsugiri, Dragonite, Chi-Yu, Chien-Pao"
16,271,Aaron Traylor,USA,"Cresselia, Ursaluna, Incineroar, Tornadus, Raging Bolt, Rapid Strike Urshifu"
17,188,Alberto Lara,USA,"Rapid Strike Urshifu, Amoonguss, Pelipper, Chien-Pao, Raging Bolt, Gholdengo"
18,2274,Alessio Piscitelli,Canada,"Rapid Strike Urshifu, Incineroar, Rillaboom, Raging Bolt, Volcarona, Chien-Pao"
19,2258,Raphael Bagara,Canada,"Ursaluna, Flutter Mane, Incineroar, Wellspring Mask Ogerpon, Cresselia, Raging Bolt"
20,351,Raghav Malaviya,USA,"Landorus, Hearthflame Mask Ogerpon, Incineroar, Rillaboom, Flutter Mane, Rapid Strike Urshifu"
21,267,Brian Lee,Malaysia,"Chi-Yu, Wellspring Mask Ogerpon, Single Strike Urshifu, Glimmora, Flutter Mane, Tornadus"
22,1956,Carter Davis,USA,"Torkoal, Incineroar, Walking Wake, Flutter Mane, Farigiraf, Cornerstone Mask Ogerpon"
23,338,Dylan Salvanera,USA,"Wellspring Mask Ogerpon, Single Strike Urshifu, Skeledirge, Tornadus, Raging Bolt, Landorus"
24,2270,Ryan Bailey,USA,"Amoonguss, Flutter Mane, Landorus, Raging Bolt, Incineroar, Rapid Strike Urshifu"
25,1631,Jesse Romolo,Canada,"Glimmora, Wellspring Mask Ogerpon, Flutter Mane, Chien-Pao, Tornadus, Landorus Therian"
26,26,Trista Medine,USA,"Chien-Pao, Ting-Lu, Galarian Zapdos, Dondozo, Amoonguss, Gouging Fire"
27,1810,Montana Mott,USA,"Flutter Mane, Amoonguss, Raging Bolt, Rillaboom, Rapid Strike Urshifu, Incineroar"
28,1142,Daravone Souphommanychanh,Canada,"Bloodmoon Ursaluna, Hearthflame Mask Ogerpon, Single Strike Urshifu, Iron Hands, Farigiraf, Tornadus"
29,1121,Yuki Zaninovich,USA,"Amoonguss, Thundurus, Rapid Strike Urshifu, Archaludon, Incineroar, Landorus"
30,3217,Jason Kissinger,USA,"Tornadus, Single Strike Urshifu, Wellspring Mask Ogerpon, Glimmora, Chi-Yu, Flutter Mane"
31,1802,Jonathan Duran,USA,"Incineroar, Raging Bolt, Chien-Pao, Rapid Strike Urshifu, Volcarona, Rillaboom"
32,2703,Noah Gardner,USA,"Flutter Mane, Rillaboom, Raging Bolt, Hearthflame Mask Ogerpon, Incineroar, Rapid Strike Urshifu"
33,3218,Matt Csordas,Canada,"Incineroar, Flutter Mane, Single Strike Urshifu, Farigiraf, Bloodmoon Ursaluna, Wellspring Mask Ogerpon"
34,1236,Joseph Brummett,USA,"Rillaboom, Gouging Fire, Wellspring Mask Ogerpon, Chien-Pao, Flutter Mane, Kingambit"
35,2082,Joshua Wong,Canada,"Gouging Fire, Tornadus, Chien-Pao, Wellspring Mask Ogerpon, Kingambit, Landorus"
36,2161,David Harupa,USA,"Iron Hands, Tornadus, Hearthflame Mask Ogerpon, Single Strike Urshifu, Farigiraf, Bloodmoon Ursaluna"
37,655,Len Deuel,USA,"Lycanroc, Corviknight, Tyranitar, Amoonguss, Garchomp, Gouging Fire"
38,2074,Navjit Joshi,Canada,"Hisuian Arcanine, Flutter Mane, Chien-Pao, Scream Tail, Raging Bolt, Wellspring Mask Ogerpon"
39,3219,Jaykub Willis,USA,"Alolan Ninetales, Hisuian Arcanine, Raging Bolt, Wellspring Mask Ogerpon, Landorus, Articuno"
40,3220,Tuong Huynh,Canada,"Tornadus, Sinistcha, Annihilape, Pelipper, Grimmsnarl, Archaludon"
41,333,Kimo Nishimura,USA,"Chien-Pao, Raging Bolt, Rapid Strike Urshifu, Incineroar, Volcarona, Rillaboom"
42,1693,Aaron Brok,USA,"Incineroar, Hearthflame Mask Ogerpon, Raging Bolt, Amoonguss, Rapid Strike Urshifu, Corviknight"
43,1480,Stefan Mott,Switzerland,"Wellspring Mask Ogerpon, Gholdengo, Landorus, Tornadus, Incineroar, Clefairy"
44,2819,Patrick Cheng,Hong Kong,"Female Indeedee, Gallade, Ursaluna, Cornerstone Mask Ogerpon, Torkoal, Armarouge"
45,3221,Mitchell Shier,Canada,"Tornadus, Single Strike Urshifu, Chi-Yu, Wellspring Mask Ogerpon, Flutter Mane, Glimmora"
46,2742,Layn Sheppard,USA,"Farigiraf, Iron Hands, Cornerstone Mask Ogerpon, Torkoal, Walking Wake, Flutter Mane"
47,1800,Benji Carney,USA,"Walking Wake, Flutter Mane, Farigiraf, Incineroar, Cornerstone Mask Ogerpon, Torkoal"
48,1877,Andy Brophy,Australia,"Single Strike Urshifu, Iron Hands, Farigiraf, Hearthflame Mask Ogerpon, Bloodmoon Ursaluna, Tornadus"
49,2817,Brennan Clark,Canada,"Incineroar, Rillaboom, Chien-Pao, Landorus, Raging Bolt, Rapid Strike Urshifu"
50,1794,Emmanuel Boctor,USA,"Rapid Strike Urshifu, Flutter Mane, Pelipper, Rillaboom, Amoonguss, Archaludon"
51,198,James Baek,USA,"Tornadus, Incineroar, Landorus, Archaludon, Rapid Strike Urshifu, Amoonguss"
52,190,Giovanni Costa,USA,"Flutter Mane, Wellspring Mask Ogerpon, Incineroar, Farigiraf, Whimsicott, Gholdengo"
53,130,Chuppa Cross IV,USA,"Dondozo, Ting-Lu, Wellspring Mask Ogerpon, Chien-Pao, Gouging Fire, Dragonite"
54,161,Collin Heier,USA,"Dondozo, Wellspring Mask Ogerpon, Dragonite, Gouging Fire, Chien-Pao, Ting-Lu"
55,2079,Bryce Ong,Canada,"Rillaboom, Landorus, Rapid Strike Urshifu, Pelipper, Archaludon, Chien-Pao"
56,3222,Christian Maccise Bueno,Mexico,"Incineroar, Raging Bolt, Landorus, Single Strike Urshifu, Flutter Mane, Wellspring Mask Ogerpon"
57,1785,Brian Collins,Ireland,"Single Strike Urshifu, Hatterene, Female Indeedee, Torkoal, Farigiraf, Smeargle"
58,2815,Jinkyum Kim,Canada,"Flutter Mane, Pikachu, Rillaboom, Hisuian Arcanine, Rapid Strike Urshifu, Tornadus"
59,3223,Noah Kumaczow,Canada,"Flutter Mane, Rillaboom, Hisuian Goodra, Incineroar, Suicune, Glimmora"
60,3224,Jason Delgadillo,USA,"Iron Crown, Whimsicott, Wellspring Mask Ogerpon, Female Indeedee, Hisuian Arcanine, Annihilape"
61,3225,Atreya Bhamidi,USA,"Articuno, Hisuian Arcanine, Wellspring Mask Ogerpon, Landorus, Raging Bolt, Alolan Ninetales"
62,3226,Matthew Engbrecht,Canada,"Wellspring Mask Ogerpon, Single Strike Urshifu, Flutter Mane, Chi-Yu, Glimmora, Raging Bolt"
63,2403,Alexander Canseco,Mexico,"Amoonguss, Flutter Mane, Wellspring Mask Ogerpon, Raging Bolt, Incineroar, Landorus"
64,2364,Tasnim Rahman,Canada,"Raging Bolt, Landorus, Single Strike Urshifu, Flutter Mane, Entei, Wellspring Mask Ogerpon"
65,2259,Jose Vazquez,USA,"Wellspring Mask Ogerpon, Porygon2, Amoonguss, Ursaluna, Flutter Mane, Incineroar"
66,1280,Matt Tidd,USA,"Gouging Fire, Iron Hands, Kingambit, Primarina, Sinistcha, Landorus"
67,1088,Joseph Ugarte,USA,"Incineroar, Rapid Strike Urshifu, Rillaboom, Flutter Mane, Landorus, Raging Bolt"
68,1797,Alex Qian,USA,"Tornadus, Single Strike Urshifu, Glimmora, Chi-Yu, Flutter Mane, Wellspring Mask Ogerpon"
69,2278,Tyler Deacy,USA,"Rillaboom, Raging Bolt, Landorus, Hearthflame Mask Ogerpon, Dragonite, Chien-Pao"
70,1041,Ryan Loseto,Canada,"Kingambit, Chien-Pao, Landorus, Rillaboom, Gouging Fire, Wellspring Mask Ogerpon"
71,3227,Kacey Boardman,USA,"Flutter Mane, Tornadus, Raging Bolt, Entei, Wellspring Mask Ogerpon, Chien-Pao"
72,2705,Andrew Briceno,USA,"Ursaluna, Flutter Mane, Raging Bolt, Incineroar, Wellspring Mask Ogerpon, Cresselia"
73,3228,Jonathan Newman,Canada,"Chi-Yu, Rillaboom, Tornadus, Walking Wake, Flutter Mane, Raging Bolt"
74,3229,Cory Erickson,Canada,"Landorus, Flutter Mane, Tornadus, Wellspring Mask Ogerpon, Glimmora, Single Strike Urshifu"
75,2068,Carson Jones,USA,"Wellspring Mask Ogerpon, Tornadus, Flutter Mane, Chi-Yu, Glimmora, Single Strike Urshifu"
76,3230,Arath Alejandro Vera Almaraz,Mexico,"Flutter Mane, Iron Bundle, Hearthflame Mask Ogerpon, Rillaboom, Raging Bolt, Incineroar"
77,2338,Rafe Osborne,USA,"Chien-Pao, Ting-Lu, Gouging Fire, Dondozo, Gholdengo, Dragonite"
78,3231,Ashish Tripathi,Canada,"Single Strike Urshifu, Incineroar, Wellspring Mask Ogerpon, Raging Bolt, Landorus, Flutter Mane"
79,2812,Braden Clemens,Canada,"Pelipper, Amoonguss, Baxcalibur, Archaludon, Rapid Strike Urshifu, Incineroar"
80,2261,Estefen Luna,USA,"Rapid Strike Urshifu, Amoonguss, Landorus, Incineroar, Archaludon, Pelipper"
81,3232,Tsz Him Adrian Tang,Australia,"Whimsicott, Terrakion, Female Indeedee, Flutter Mane, Iron Crown, Chi-Yu"
82,3233,Connor Sullivan,USA,"Amoonguss, Glimmora, Dondozo, Annihilape, Chien-Pao, Tatsugiri"
83,2400,Everett Filloon,USA,"Incineroar, Hearthflame Mask Ogerpon, Flutter Mane, Whimsicott, Raging Bolt, Landorus"
84,2973,Michael Wagner,USA,"Single Strike Urshifu, Wellspring Mask Ogerpon, Incineroar, Tornadus, Gholdengo, Regidrago"
85,2156,Nick Willems,USA,"Raging Bolt, Flutter Mane, Single Strike Urshifu, Tornadus, Wellspring Mask Ogerpon, Heatran"
86,2803,Takuya Hiraiwa,USA,"Tatsugiri, Dondozo, Roaring Moon, Alolan Ninetales, Articuno, Glimmora"
87,378,Abe Brath,USA,"Ting-Lu, Dondozo, Gouging Fire, Dragonite, Gholdengo, Chien-Pao"
88,1605,Jourdan Bul,USA,"Flutter Mane, Incineroar, Iron Bundle, Raging Bolt, Single Strike Urshifu, Rillaboom"
89,2291,Patrick Brennan,USA,"Farigiraf, Hearthflame Mask Ogerpon, Bloodmoon Ursaluna, Iron Hands, Tornadus, Single Strike Urshifu"
90,3234,Jake Walker,Canada,"Wellspring Mask Ogerpon, Gouging Fire, Landorus, Flutter Mane, Kingambit, Rillaboom"
91,2813,Jose Mena,Costa Rica,"Glimmora, Chien-Pao, Flutter Mane, Tatsugiri, Entei, Dondozo"
