Posizione,ID_Giocatore,Nome_Giocatore,Nazionalità,Team_Pokémon
1,106,Luca Ceribelli,Italy,"Miraidon, Hearthflame Mask Ogerpon, Rapid Strike Urshifu, Iron Hands, Whimsicott, Farigiraf"
2,3430,Yuta Ishigaki,Japan,"Landorus, Rapid Strike Urshifu, Iron Valiant, Pelipper, Amoonguss, Ice Rider Calyrex"
3,1994,Michael Kelsch,Germany,"Flutter Mane, Chien-Pao, Rillaboom, Zamazenta, Rapid Strike Urshifu, Entei"
4,1112,Jeong Seong Jae,Korea,"Miraidon, Hearthflame Mask Ogerpon, Whimsicott, Iron Hands, Single Strike Urshifu, Farigiraf"
5,153,Diego Ferreira,Chile,"Ursaluna, Wellspring Mask Ogerpon, Gallade, Female Indeedee, Ice Rider Calyrex, Torkoal"
6,3431,CHENYUE ZENG,China,"Gholdengo, Miraidon, Dondozo, Dragonite, Tatsugiri, Chi-Yu"
7,2074,Navjit Joshi,Canada,"Farigiraf, Landorus, Ice Rider Calyrex, Cornerstone Mask Ogerpon, Rapid Strike Urshifu, Regieleki"
8,2835,YUXIANG WANG,China,"Chien-Pao, Incineroar, Terapagos, Flutter Mane, Rillaboom, Rapid Strike Urshifu"
9,3432,hyuma hara,Japan,"Incineroar, Rapid Strike Urshifu, Rillaboom, Flutter Mane, Terapagos, Hearthflame Mask Ogerpon"
10,3433,Ruben Gianzini,Italy,"Shadow Rider Calyrex, Incineroar, Rillaboom, Rapid Strike Urshifu, Raging Bolt, Clefairy"
11,1066,Marco Hemantha Kaladura Silva,Italy,"Rapid Strike Urshifu, Rillaboom, Raging Bolt, Shadow Rider Calyrex, Incineroar, Hearthflame Mask Ogerpon"
12,1580,Justin Knox,USA,"Rapid Strike Urshifu, Tatsugiri Droopy Form, Shadow Rider Calyrex, Galarian Weezing, Female Indeedee, Dondozo"
13,1517,Antonio Sánchez,Spain,"Ice Rider Calyrex, Cornerstone Mask Ogerpon, Farigiraf, Rillaboom, Rapid Strike Urshifu, Raging Bolt"
14,1023,Oliver Eskolin,Finland,"Rapid Strike Urshifu, Kyogre, Roaring Moon, Rillaboom, Amoonguss, Incineroar"
15,2530,Diego Aguirre,Canada,"Flutter Mane, Latios, Rillaboom, Landorus, Tyranitar, Zamazenta"
16,2525,Kylan Van  Severen,Canada,"Single Strike Urshifu, Chi-Yu, Amoonguss, Flutter Mane, Ice Rider Calyrex, Raging Bolt"
17,25,Wolfe Glick,USA,"Incineroar, Raging Bolt, Shadow Rider Calyrex, Rillaboom, Rapid Strike Urshifu, Farigiraf"
18,1105,Hirofumi Kimura,Japan,"Chi-Yu, Cornerstone Mask Ogerpon, Ice Rider Calyrex, Flutter Mane, Rapid Strike Urshifu, Raging Bolt"
19,3434,Sho Akiyama,Japan,"Rapid Strike Urshifu, Shadow Rider Calyrex, Amoonguss, Raging Bolt, Rillaboom, Incineroar"
20,2738,Keanu Inosanto,USA,"Zamazenta, Pelipper, Rapid Strike Urshifu, Raging Bolt, Chien-Pao, Amoonguss"
21,211,Grant Weldon,USA,"Ditto, Zacian, Amoonguss, Regidrago, Chi-Yu, Whimsicott"
22,1602,Tang Shiliang,China,"Ice Rider Calyrex, Rapid Strike Urshifu, Landorus, Ogerpon, Pelipper, Incineroar"
23,1127,Shohei Kimura,Japan,"Rillaboom, Amoonguss, Rapid Strike Urshifu, Shadow Rider Calyrex, Raging Bolt, Incineroar"
24,1153,Taran Birdee,Great Britain,"Hearthflame Mask Ogerpon, Miraidon, Whimsicott, Iron Hands, Farigiraf, Single Strike Urshifu"
25,1771,Carlos Cabal,Spain,"Koraidon, Raging Bolt, Cornerstone Mask Ogerpon, Flutter Mane, Ditto, Chi-Yu"
26,33,Eric Rios,Spain,"Hearthflame Mask Ogerpon, Rapid Strike Urshifu, Landorus, Grimmsnarl, Raging Bolt, Terapagos"
27,41,Sebastian Escalante,Argentina,"Smeargle, Tornadus, Terapagos, Hearthflame Mask Ogerpon, Iron Hands, Klefki"
28,2154,Daniel Yu,USA,"Kyogre, Rapid Strike Urshifu, Tornadus, Landorus, Tsareena, Basculegion"
29,28,Alex Gómez Berna,Spain,"Grimmsnarl, Landorus, Rapid Strike Urshifu, Hearthflame Mask Ogerpon, Raging Bolt, Terapagos"
30,1759,Adam Cherfaoui,France,"Shadow Rider Calyrex, Rillaboom, Roaring Moon, Incineroar, Rapid Strike Urshifu, Clefairy"
31,159,Riley Factura,USA,"Rapid Strike Urshifu, Ursaluna, Miraidon, Iron Crown, Incineroar, Whimsicott"
32,1232,Jeremy Parson,USA,"Iron Hands, Single Strike Urshifu, Farigiraf, Chi-Yu, Miraidon, Whimsicott"
33,1481,Victor Medina,Spain,"Cornerstone Mask Ogerpon, Rapid Strike Urshifu, Rillaboom, Raging Bolt, Farigiraf, Ice Rider Calyrex"
34,2351,Kian Campbell,USA,"Rillaboom, Zacian, Rapid Strike Urshifu, Chien-Pao, Umbreon, Tornadus"
35,2225,Junxi Zhu,USA,"Hearthflame Mask Ogerpon, Tornadus, Smeargle, Iron Hands, Terapagos, Klefki"
36,2591,Alberto Cañuelo Gómez,Spain,"Clefairy, Shadow Rider Calyrex, Rapid Strike Urshifu, Tornadus, Iron Hands, Smeargle"
37,16,Nico Davide Cognetta,Italy,"Terapagos, Rillaboom, Incineroar, Annihilape, Cornerstone Mask Ogerpon, Scream Tail"
38,1745,Chyr Wei,Taiwan,"Miraidon, Farigiraf, Whimsicott, Rapid Strike Urshifu, Hearthflame Mask Ogerpon, Iron Hands"
39,2834,Jack Lloyd,Australia,"Flutter Mane, Chi-Yu, Latios, Zamazenta, Rillaboom, Tyranitar"
40,2703,Noah Gardner,USA,"Grimmsnarl, Zamazenta, Gholdengo, Rillaboom, Chien-Pao, Pelipper"
41,1785,Brian Collins,Ireland,"Rapid Strike Urshifu, Okidogi, Female Indeedee, Ursaluna, Whimsicott, Lunala"
42,271,Aaron Traylor,USA,"Farigiraf, Hearthflame Mask Ogerpon, Whimsicott, Iron Hands, Rapid Strike Urshifu, Miraidon"
43,23,Kinugawa Yuma,Japan,"Single Strike Urshifu, Hearthflame Mask Ogerpon, Raging Bolt, Iron Hands, Groudon, Iron Jugulis"
44,124,Alessandro Fantinato,Italy,"Ditto, Chien-Pao, Rillaboom, Flutter Mane, Entei, Zamazenta"
45,1489,Giacomo Pauselli,Italy,"Shadow Rider Calyrex, Galarian Weezing, Mienshao, Dondozo, Chi-Yu, Tatsugiri Droopy Form"
