Posizione,ID_Giocatore,Nome_Giocatore,Nazionalità,Team_Pokémon
1,2753,Nikhil Reddy,Netherlands,"Wellspring Mask Ogerpon, Alolan Ninetales, Hisuian Arcanine, Articuno, Landorus, Raging Bolt"
2,1827,Aurélien Soula,France,"Hearthflame Mask Ogerpon, Single Strike Urshifu, Rillaboom, Flutter Mane, Raging Bolt, Landorus"
3,1994,Michael Kelsch,Germany,"Flutter Mane, Single Strike Urshifu, Raging Bolt, Landorus, Wellspring Mask Ogerpon, Entei"
4,2437,Riccardo Stellini,Italy,"Tornadus, Iron Hands, Bloodmoon Ursaluna, Single Strike Urshifu, Farigiraf, Hearthflame Mask Ogerpon"
5,1624,Rayan Guezi,France,"Chi-Yu, Glimmora, Tornadus, Wellspring Mask Ogerpon, Flutter Mane, Single Strike Urshifu"
6,2755,Emir Abdulovski,Netherlands,"Landorus, Hisuian Arcanine, Wellspring Mask Ogerpon, Articuno, Alolan Ninetales, Raging Bolt"
7,1820,Salvatore Rega,Italy,"Dragonite, Chien-Pao, Chi-Yu, Tatsugiri Stretchy Form, Dondozo, Flutter Mane"
8,1508,Iker Rodrigo,Spain,"Incineroar, Raging Bolt, Flutter Mane, Single Strike Urshifu, Landorus, Wellspring Mask Ogerpon"
9,2884,Oliver Gausden,N/A,"Gholdengo, Iron Boulder, Okidogi, Roaring Moon, Grimmsnarl, Wellspring Mask Ogerpon"
10,1481,Victor Medina,Spain,"Flutter Mane, Incineroar, Raging Bolt, Landorus, Single Strike Urshifu, Wellspring Mask Ogerpon"
11,2110,Yvar Vlieger,USA,"Whimsicott, Archaludon, Flutter Mane, Hisuian Arcanine, Alolan Ninetales, Single Strike Urshifu"
12,3188,Forhad Chodhoury,Spain,"Farigiraf, Rapid Strike Urshifu, Hisuian Arcanine, Bloodmoon Ursaluna, Ogerpon, Chien-Pao"
13,12,Javier Senorena,Spain,"Rillaboom, Landorus, Chien-Pao, Incineroar, Rapid Strike Urshifu, Raging Bolt"
14,3185,Rafael Sadowski,Germany,"Alolan Ninetales, Chien-Pao, Annihilape, Hisuian Goodra, Hisuian Arcanine, Rillaboom"
