Posizione,ID_Giocatore,Nome_Giocatore,Nazionalità,Team_Pokémon
1,2051,Kiran Singh,Australia,"Amoonguss, Roaring Moon, Flutter Mane, Wellspring Mask Ogerpon, Incineroar, Raging Bolt"
2,713,Trent Sayer,New Zealand,"Hatterene, Female Indeedee, Torkoal, Gallade, Annihilape, Hisuian Lilligant"
3,153,Diego Ferreira,Chile,"Ursaluna, Roaring Moon, Armarouge, Gallade, Female Indeedee, Torkoal"
4,1669,Liu Genting,China,"Gouging Fire, Single Strike Urshifu, Galarian Zapdos, Wellspring Mask Ogerpon, Archaludon, Farigiraf"
5,2478,Nicholas Kan,Australia,"Single Strike Urshifu, Glimmora, Flutter Mane, Tornadus, Chi-Yu, Wellspring Mask Ogerpon"
6,3057,Chengfu Ren,China,"Archaludon, Pelipper, Flutter Mane, Rapid Strike Urshifu, Amoonguss, Incineroar"
7,1448,Jesse Beard,Australia,"Archaludon, Amoonguss, Incineroar, Rapid Strike Urshifu, Farigiraf, Pelipper"
8,1590,Alex Donaldson,New Zealand,"Rillaboom, Flutter Mane, Wellspring Mask Ogerpon, Kingambit, Gouging Fire, Chien-Pao"
9,2838,Bryce Facey,Australia,"Gouging Fire, Galarian Articuno, Incineroar, Raging Bolt, Rillaboom, Wellspring Mask Ogerpon"
10,821,Luke Milligan,Australia,"Rapid Strike Urshifu, Iron Hands, Tornadus, Hearthflame Mask Ogerpon, Landorus, Flutter Mane"
11,3058,Toby Kongmun,Australia,"Raging Bolt, Entei, Wellspring Mask Ogerpon, Gholdengo, Rillaboom, Chien-Pao"
12,2050,Philippe Breig,Australia,"Raging Bolt, Wellspring Mask Ogerpon, Torkoal, Great Tusk, Farigiraf, Single Strike Urshifu"
13,2057,Harrison McCowage,Australia,"Wellspring Mask Ogerpon, Roaring Moon, Chi-Yu, Flutter Mane, Farigiraf, Regidrago"
14,2834,Jack Lloyd,Australia,"Ting-Lu, Kommo-o, Rapid Strike Urshifu, Rillaboom, Raging Bolt, Farigiraf"
15,2843,Scott Kennedy,Australia,"Landorus, Rapid Strike Urshifu, Roaring Moon, Incineroar, Raging Bolt, Weezing"
16,3059,William McClelland,Australia,"Flutter Mane, Incineroar, Farigiraf, Single Strike Urshifu, Bloodmoon Ursaluna, Wellspring Mask Ogerpon"
17,128,Luke Curtale,Australia,"Incineroar, Flutter Mane, Single Strike Urshifu, Farigiraf, Wellspring Mask Ogerpon, Bloodmoon Ursaluna"
18,1598,Timothy Nurse,Australia,"Raging Bolt, Registeel, Primarina, Porygon2, Rillaboom, Incineroar"
19,3060,Jiyang Yang,China,"Chi-Yu, Female Indeedee, Chien-Pao, Tornadus, Single Strike Urshifu, Iron Bundle"
20,688,Daniel Baguley,Australia,"Farigiraf, Flutter Mane, Hearthflame Mask Ogerpon, Bloodmoon Ursaluna, Single Strike Urshifu, Iron Hands"
21,3061,James DAWES,Australia,"Incineroar, Amoonguss, Porygon2, Raging Bolt, Kingambit, Flutter Mane"
22,3062,Aristo Wibowanto,Australia,"Female Indeedee, Kingambit, Hatterene, Torkoal, Hisuian Lilligant, Wellspring Mask Ogerpon"
23,1886,Scott Sellers,Australia,"Wellspring Mask Ogerpon, Flutter Mane, Raging Bolt, Single Strike Urshifu, Chi-Yu, Tornadus"
24,3063,Aaron Watt,Australia,"Torkoal, Walking Wake, Raging Bolt, Farigiraf, Hisuian Lilligant, Glimmora"
25,1877,Andy Brophy,Australia,"Farigiraf, Bloodmoon Ursaluna, Incineroar, Rillaboom, Hearthflame Mask Ogerpon, Rapid Strike Urshifu"
26,1874,Vivek Arunagiri,Australia,"Raging Bolt, Wellspring Mask Ogerpon, Roaring Moon, Flutter Mane, Incineroar, Amoonguss"
27,1474,Mark Murray,Australia,"Hearthflame Mask Ogerpon, Whimsicott, Chi-Yu, Iron Bundle, Farigiraf, Okidogi"
28,3064,Dhanush Batreddy,Australia,"Tornadus, Rillaboom, Wellspring Mask Ogerpon, Archaludon, Amoonguss, Rapid Strike Urshifu"
29,2836,MD Raad Chowdhury,N/A,"Flutter Mane, Incineroar, Rillaboom, Wellspring Mask Ogerpon, Gholdengo, Single Strike Urshifu"
30,2841,Sky Konsti,Australia,"Rillaboom, Flutter Mane, Heatran, Roaring Moon, Rapid Strike Urshifu, Farigiraf"
31,1597,Daniel Quek,Australia,"Hearthflame Mask Ogerpon, Iron Hands, Farigiraf, Bloodmoon Ursaluna, Single Strike Urshifu, Tornadus"
32,2846,Jamie Hodge,Australia,"Raging Bolt, Incineroar, Bloodmoon Ursaluna, Wellspring Mask Ogerpon, Single Strike Urshifu, Tornadus"
33,1887,Thomas Chen,Australia,"Iron Hands, Farigiraf, Tornadus, Bloodmoon Ursaluna, Hearthflame Mask Ogerpon, Single Strike Urshifu"
34,2487,Dimitri Koziaris,Australia,"Gholdengo, Single Strike Urshifu, Incineroar, Flutter Mane, Tornadus, Wellspring Mask Ogerpon"
35,2845,Jack Roth,Australia,"Porygon2, Flutter Mane, Raging Bolt, Amoonguss, Incineroar, Kingambit"
36,1476,Lewis Tan,Australia,"Rapid Strike Urshifu, Flutter Mane, Incineroar, Farigiraf, Hearthflame Mask Ogerpon, Rillaboom"
37,174,Sam Pandelis,Australia,"Archaludon, Rapid Strike Urshifu, Tornadus, Incineroar, Amoonguss, Flutter Mane"
38,2480,James Black,Australia,"Kingambit, Gouging Fire, Flutter Mane, Rillaboom, Wellspring Mask Ogerpon, Chien-Pao"
39,3065,Christopher Gibson,Australia,"Gouging Fire, Kingambit, Dragonite, Chien-Pao, Wellspring Mask Ogerpon, Amoonguss"
40,3066,Nakul Umashankar,Australia,"Wellspring Mask Ogerpon, Chien-Pao, Rillaboom, Gouging Fire, Flutter Mane, Kingambit"
41,2849,Cameron Calvert,Australia,"Farigiraf, Iron Hands, Bloodmoon Ursaluna, Tornadus, Hearthflame Mask Ogerpon, Single Strike Urshifu"
42,3067,Noah Luvaul,Australia,"Rapid Strike Urshifu, Hearthflame Mask Ogerpon, Farigiraf, Flutter Mane, Rillaboom, Bloodmoon Ursaluna"
43,1670,Matthew Robinson,Australia,"Single Strike Urshifu, Tornadus, Wellspring Mask Ogerpon, Chi-Yu, Flutter Mane, Landorus"
44,3068,Declan Palmer,Australia,"Comfey, Archaludon, Rapid Strike Urshifu, Flutter Mane, Amoonguss, Tornadus"
45,404,James Katsaros,Australia,"Raging Bolt, Flutter Mane, Roaring Moon, Amoonguss, Incineroar, Wellspring Mask Ogerpon"
46,3069,Brayden Bithio,Australia,"Kingambit, Rapid Strike Urshifu, Hatterene, Torkoal, Gallade, Female Indeedee"
47,142,Luke Iuele,Australia,"Rapid Strike Urshifu, Regidrago, Rillaboom, Gholdengo, Tornadus, Hearthflame Mask Ogerpon"
48,3070,Michael Hagan,Australia,"Entei, Raging Bolt, Wellspring Mask Ogerpon, Rillaboom, Chien-Pao, Gholdengo"
49,869,Jim Sullivan,Australia,"Iron Hands, Ursaluna, Volcarona, Enamorus Therian, Hisuian Zoroark, Cresselia"
