Posizione,ID_Giocatore,Nome_Giocatore,Nazionalità,Team_Pokémon
1,1127,Shohei Kimura,Japan,"Flutter Mane, Rapid Strike Urshifu, Amoonguss, Iron Hands, Chien-Pao, Landorus Therian"
2,1994,Michael Kelsch,Germany,"Dragapult, Rapid Strike Urshifu, Rillaboom, Heatran, Chien-Pao, Farigiraf"
3,2489,Mao Harada,Japan,"Flutter Mane, Rapid Strike Urshifu, Amoonguss, Iron Hands, Chien-Pao, Landorus Therian"
4,1742,Federico Camporesi,Italy,"Flutter Mane, Single Strike Urshifu, Dragonite, Iron Hands, Cresselia, Ursaluna"
5,2063,Abdullah Mohayyuddin,Canada,"Gholdengo, Rapid Strike Urshifu, Amoonguss, Iron Hands, Chien-Pao, Pelipper"
6,1481,Victor Medina,Spain,"Flutter Mane, Rapid Strike Urshifu, Rillaboom, Heatran, Chien-Pao, Tornadus"
7,1490,Nikolaj  Høj Nielsen,Denmark,"Flutter Mane, Single Strike Urshifu, Dragonite, Iron Hands, Cresselia, Ursaluna"
8,1170,Mattie Morgan,Ireland,"Flutter Mane, Rapid Strike Urshifu, Rillaboom, Gholdengo, Landorus Therian, Tornadus"
9,73,Luca Lussignoli,Italy,"Gholdengo, Rapid Strike Urshifu, Amoonguss, Iron Hands, Chien-Pao, Pelipper"
10,1748,Taro Okada,Japan,"Flutter Mane, Rapid Strike Urshifu, Amoonguss, Iron Hands, Chien-Pao, Landorus Therian"
11,1066,Marco Hemantha Kaladura Silva,Italy,"Flutter Mane, Gyarados, Amoonguss, Iron Hands, Chi-Yu, Roaring Moon"
12,1741,Yosuke Takayanagi,Japan,"Flutter Mane, Torkoal, Amoonguss, Iron Hands, Cresselia, Ursaluna"
13,157,Emilio Forbes,USA,"Flutter Mane, Rapid Strike Urshifu, Brambleghast, Gholdengo, Chi-Yu, Tornadus"
14,2490,Kaito Arii,Japan,"Flutter Mane, Rapid Strike Urshifu, Amoonguss, Iron Hands, Chien-Pao, Landorus Therian"
15,2491,Yuta Takahashi,Japan,"Flutter Mane, Rapid Strike Urshifu, Rillaboom, Hisuian Arcanine, Chien-Pao, Tornadus"
16,2492,Kenji Miura,Japan,"Gholdengo, Rapid Strike Urshifu, Amoonguss, Heatran, Baxcalibur, Zapdos"
17,1784,Neil Patel,Canada,"Flutter Mane, Rapid Strike Urshifu, Amoonguss, Iron Hands, Chien-Pao, Landorus Therian"
18,129,Nick Navarre,USA,"Flutter Mane, Baxcalibur, Klefki, Gastrodon, Chi-Yu, Landorus Therian"
19,1088,Joseph Ugarte,USA,"Flutter Mane, Rapid Strike Urshifu, Wo-Chien, Heatran, Thundurus, Landorus Therian"
20,28,Alex Gómez Berna,Spain,"Flutter Mane, Heatran, Rillaboom, Iron Hands, Chien-Pao, Gyarados"
21,1765,Anthony Liuzzo,France,"Flutter Mane, Single Strike Urshifu, Ursaluna, Heatran, Farigiraf, Tornadus"
22,1105,Hirofumi Kimura,Japan,"Flutter Mane, Rapid Strike Urshifu, Rillaboom, Hisuian Arcanine, Chien-Pao, Tornadus"
23,64,Leonardo Bonanomi,Italy,"Kingambit, Rapid Strike Urshifu, Amoonguss, Iron Hands, Chien-Pao, Pelipper"
24,1231,Scott Iwafuchi,USA,"Flutter Mane, Baxcalibur, Amoonguss, Iron Hands, Chi-Yu, Landorus"
25,2493,Zachary Thornberg,USA,"Flutter Mane, Single Strike Urshifu, Amoonguss, Gholdengo, Scream Tail, Talonflame"
26,2494,Kenji Yabata,Japan,"Grimmsnarl, Dondozo, Rillaboom, Hisuian Arcanine, Cresselia, Volcarona"
27,301,Guillermo Castilla Diaz,Spain,"Flutter Mane, Heatran, Rillaboom, Iron Hands, Chien-Pao, Gyarados"
28,1499,Maurice Uteg,Germany,"Gholdengo, Grimmsnarl, Amoonguss, Iron Hands, Chi-Yu, Gyarados"
29,1693,Aaron Brok,USA,"Gholdengo, Rapid Strike Urshifu, Amoonguss, Iron Hands, Chien-Pao, Landorus Therian"
30,268,Alister Sandover,Australia,"Flutter Mane, Dondozo, Tornadus, Iron Hands, Chien-Pao, Landorus Therian"
31,16,Nico Davide Cognetta,Italy,"Flutter Mane, Rapid Strike Urshifu, Rillaboom, Hisuian Arcanine, Chien-Pao, Tornadus"
32,1753,Kentaro Matsumoto,Japan,"Flutter Mane, Single Strike Urshifu, Amoonguss, Iron Hands, Chi-Yu, Tornadus"
33,1652,Francesco Iozzia,Italy,"Flutter Mane, Kingambit, Gastrodon, Heatran, Chien-Pao, Landorus Therian"
34,657,Kyle Livinghouse,USA,"Flutter Mane, Tornadus, Amoonguss, Iron Hands, Chi-Yu, Landorus Therian"
35,1602,Tang Shiliang,China,"Flutter Mane, Single Strike Urshifu, Gholdengo, Hisuian Arcanine, Tornadus, Landorus Therian"
