Posizione,ID_Giocatore,Nome_Giocatore,Nazionalità,Team_Pokémon
1,1260,Michael Zhang,USA,"Iron Bundle, Hisuian Arcanine, Tyranitar, Kommo-o, Rillaboom, Flutter Mane"
2,159,Riley Factura,USA,"Kingambit, Amoonguss, Rapid Strike Urshifu, Dragonite, Chien-Pao, Hearthflame Mask Ogerpon"
3,351,Raghav Malaviya,USA,"Landorus Therian, Wellspring Mask Ogerpon, Baxcalibur, Heatran, Rillaboom, Alolan Ninetales"
4,2702,Shane Gaffney,USA,"Tornadus, Flutter Mane, Rillaboom, Rapid Strike Urshifu, Hisuian Arcanine, Chi-Yu"
5,1084,Andrew Ding,USA,"Hearthflame Mask Ogerpon, Tornadus, Rillaboom, Landorus Therian, Rapid Strike Urshifu, Flutter Mane"
6,188,Alberto Lara,USA,"Flutter Mane, Amoonguss, Landorus Therian, Kingambit, Gastrodon, Heatran"
7,1785,Brian Collins,Ireland,"Gallade, Torkoal, Single Strike Urshifu, Female Indeedee, Ursaluna, Armarouge"
8,1693,Aaron Brok,USA,"Landorus Therian, Wellspring Mask Ogerpon, Heatran, Iron Hands, Alolan Ninetales, Kingambit"
9,358,Alex Underhill,USA,"Roaring Moon, Rillaboom, Rapid Strike Urshifu, Weezing, Flutter Mane, Hearthflame Mask Ogerpon"
10,2556,Alexander DAndrea,USA,"Dondozo, Glimmora, Iron Hands, Tatsugiri, Hearthflame Mask Ogerpon, Alolan Ninetales"
11,190,Giovanni Costa,USA,"Flutter Mane, Wellspring Mask Ogerpon, Farigiraf, Single Strike Urshifu, Iron Hands, Gholdengo"
12,1784,Neil Patel,Canada,"Rapid Strike Urshifu, Hearthflame Mask Ogerpon, Flutter Mane, Landorus Therian, Tornadus, Rillaboom"
13,319,Gavin Michaels,USA,"Iron Hands, Wellspring Mask Ogerpon, Kingambit, Clefairy, Landorus Therian, Flutter Mane"
14,639,Cade Bowles,USA,"Hisuian Arcanine, Rillaboom, Tornadus, Kommo-o, Dragonite, Chien-Pao"
15,1480,Stefan Mott,Switzerland,"Wellspring Mask Ogerpon, Heatran, Annihilape, Iron Bundle, Clefairy, Landorus Therian"
16,338,Dylan Salvanera,USA,"Rillaboom, Gholdengo, Landorus Therian, Hearthflame Mask Ogerpon, Rapid Strike Urshifu, Tornadus"
17,1636,Donald Smith,USA,"Iron Bundle, Flutter Mane, Tyranitar, Kommo-o, Hisuian Arcanine, Rillaboom"
18,2534,Connor Swikart,USA,"Tatsugiri, Dondozo, Hearthflame Mask Ogerpon, Chien-Pao, Dragonite, Flutter Mane"
19,2403,Alexander Canseco,Mexico,"Chi-Yu, Amoonguss, Iron Hands, Flutter Mane, Tornadus, Rapid Strike Urshifu"
20,2703,Noah Gardner,USA,"Iron Hands, Landorus Therian, Flutter Mane, Hearthflame Mask Ogerpon, Rapid Strike Urshifu, Tornadus"
21,2259,Jose Vazquez,USA,"Flutter Mane, Iron Hands, Chi-Yu, Landorus Therian, Wellspring Mask Ogerpon, Kingambit"
22,168,Justin Carris,USA,"Cresselia, Landorus Therian, Heatran, Flutter Mane, Iron Hands, Wellspring Mask Ogerpon"
