Posizione,ID_Giocatore,Nome_Giocatore,Nazionalità,Team_Pokémon
1,43,Eduardo Cunha,Portugal,"Chien-Pao, Landorus Therian, Rapid Strike Urshifu, Heatran, Amoonguss, Flutter Mane"
2,1854,Marco Marras,Italy,"Cresselia, Amoonguss, Iron Hands, Ursaluna, Torkoal, Flutter Mane"
3,635,Guiseppe Musicco,Italy,"Tornadus, Heatran, Amoonguss, Iron Hands, Flutter Mane, Landorus Therian"
4,2471,Matteo Ballini,Italy,"Roaring Moon, Amoonguss, Gyarados, Iron Hands, Chi-Yu, Flutter Mane"
5,3,Simone Sanvito,Italy,"Flutter Mane, Chien-Pao, Tornadus, Rillaboom, Rapid Strike Urshifu, Hisuian Arcanine"
6,28,Alex Gómez Berna,Spain,"Rapid Strike Urshifu, Iron Hands, Scream Tail, Volcarona, Gothitelle, Landorus Therian"
7,1820,Salvatore Rega,Italy,"Tornadus, Chi-Yu, Tatsugiri, Dondozo, Flutter Mane, Glimmora"
8,1161,Alessio Fusca,Italy,"Flutter Mane, Chi-Yu, Iron Hands, Amoonguss, Rapid Strike Urshifu, Landorus Therian"
9,1154,Alex Soto,Spain,"Female Indeedee, Kingambit, Enamorus, Torkoal, Hisuian Lilligant, Armarouge"
10,6,Markus Stadter,Germany,"Heatran, Rapid Strike Urshifu, Amoonguss, Iron Hands, Cresselia, Chien-Pao"
11,2117,Davide Fazio,Italy,"Chi-Yu, Tatsugiri Stretchy Form, Iron Hands, Amoonguss, Dondozo, Landorus Therian"
12,1845,Nikola Zirdum,N/A,"Rillaboom, Hisuian Arcanine, Rapid Strike Urshifu, Chien-Pao, Tornadus, Flutter Mane"
13,1827,Aurélien Soula,France,"Rapid Strike Urshifu, Gholdengo, Brambleghast, Flutter Mane, Chi-Yu, Tornadus"
14,1023,Oliver Eskolin,Finland,"Amoonguss, Rapid Strike Urshifu, Landorus Therian, Chien-Pao, Gholdengo, Tornadus"
15,1481,Victor Medina,Spain,"Rapid Strike Urshifu, Hisuian Arcanine, Rillaboom, Flutter Mane, Tornadus, Chien-Pao"
16,2035,Simon Van  der  Borght,Belgium,"Chi-Yu, Rapid Strike Urshifu, Landorus Therian, Flutter Mane, Amoonguss, Iron Hands"
17,2238,Nicolò Pollato,Italy,"Chien-Pao, Gholdengo, Pelipper, Rapid Strike Urshifu, Amoonguss, Iron Hands"
18,2576,Diego Bonome Garrido,Spain,"Chien-Pao, Gholdengo, Flutter Mane, Iron Hands, Rillaboom, Gyarados"
19,1146,Ferdinando Vincenti,Italy,"Gholdengo, Chien-Pao, Iron Hands, Amoonguss, Rapid Strike Urshifu, Pelipper"
20,2116,Joseph Di  Vincenti,Italy,"Rillaboom, Tornadus, Rapid Strike Urshifu, Hisuian Arcanine, Flutter Mane, Chien-Pao"
21,1655,Christian De  Nicolo,Italy,"Dragonite, Dondozo, Flutter Mane, Tatsugiri Stretchy Form, Chien-Pao, Chi-Yu"
22,2577,Aniello Pio La Pietra,Italy,"Iron Hands, Cresselia, Flutter Mane, Ursaluna, Amoonguss, Chi-Yu"
23,1487,Selahattin Sturm,Germany,"Flutter Mane, Tornadus, Dondozo, Single Strike Urshifu, Chi-Yu, Tatsugiri Stretchy Form"
24,2578,Alejandro Santos,Spain,"Chi-Yu, Tatsugiri Droopy Form, Scream Tail, Glimmora, Dondozo, Single Strike Urshifu"
25,1771,Carlos Cabal,Spain,"Iron Hands, Amoonguss, Flutter Mane, Cresselia, Chi-Yu, Landorus Therian"
26,2426,Tommaso Benedetti,Italy,"Iron Hands, Amoonguss, Gholdengo, Pelipper, Chien-Pao, Rapid Strike Urshifu"
27,2579,Simone Caletti,Italy,"Chi-Yu, Gyarados, Flutter Mane, Iron Hands, Roaring Moon, Amoonguss"
28,2580,Alejandro Fuentelsaz,Spain,"Flutter Mane, Chien-Pao, Heatran, Thundurus, Rapid Strike Urshifu, Rillaboom"
29,2581,Marc Roman Martinez,Spain,"Tatsugiri, Tornadus, Glimmora, Chi-Yu, Single Strike Urshifu, Dondozo"
30,2582,Pablo Gallardo Hiraldo,Spain,"Flutter Mane, Female Indeedee, Armarouge, Great Tusk, Rapid Strike Urshifu, Tornadus"
31,2583,Juan Manuel Odriozola,Spain,"Amoonguss, Landorus Therian, Chien-Pao, Iron Hands, Flutter Mane, Rapid Strike Urshifu"
32,1873,Francesco Rasini,Italy,"Flutter Mane, Roaring Moon, Annihilape, Hisuian Goodra, Amoonguss, Hisuian Arcanine"
33,1223,Hao Lu,Germany,"Rapid Strike Urshifu, Tornadus, Gholdengo, Rillaboom, Landorus Therian, Regieleki"
34,2012,Renaud Dutarque,France,"Chien-Pao, Heatran, Flutter Mane, Rillaboom, Rapid Strike Urshifu, Tornadus"
35,2584,Cristian Capponi,Italy,"Ursaluna, Cresselia, Hisuian Lilligant, Torkoal, Female Indeedee, Hatterene"
36,1838,Dennis Komen,Germany,"Iron Hands, Gyarados, Flutter Mane, Chi-Yu, Amoonguss, Single Strike Urshifu"
37,570,Mark Duo,Italy,"Flutter Mane, Iron Hands, Dragonite, Single Strike Urshifu, Cresselia, Ursaluna"
38,2096,Lorenzo Silvestrini,Italy,"Ursaluna, Chien-Pao, Rapid Strike Urshifu, Iron Hands, Flutter Mane, Cresselia"
39,2437,Riccardo Stellini,Italy,"Flutter Mane, Hisuian Arcanine, Chien-Pao, Tornadus, Rapid Strike Urshifu, Rillaboom"
40,2585,Damir Lokmic,Switzerland,"Iron Hands, Flutter Mane, Rapid Strike Urshifu, Amoonguss, Chi-Yu, Landorus Therian"
41,1651,Emanuele Briganti,Italy,"Chien-Pao, Amoonguss, Pelipper, Gholdengo, Rapid Strike Urshifu, Iron Hands"
42,1066,Marco Hemantha Kaladura Silva,Italy,"Flutter Mane, Amoonguss, Landorus Therian, Iron Hands, Chien-Pao, Rapid Strike Urshifu"
43,2587,Georg Lang,Germany,"Pelipper, Basculegion, Sandy Shocks, Iron Bundle, Landorus, Barraskewda"
44,2588,Tano Rosenkranz,Germany,"Flutter Mane, Rapid Strike Urshifu, Rillaboom, Tornadus, Hisuian Arcanine, Chien-Pao"
45,2589,Juan Núñez Moreno,Spain,"Chien-Pao, Rillaboom, Flutter Mane, Tornadus, Hisuian Arcanine, Rapid Strike Urshifu"
46,107,Giovanni Panarello,Italy,"Landorus Therian, Female Indeedee, Rapid Strike Urshifu, Torkoal, Armarouge, Flutter Mane"
47,2242,Daniel Daertni,Sweden,"Armarouge, Tornadus, Female Indeedee, Gholdengo, Rapid Strike Urshifu, Landorus Therian"
48,2002,Jannik Koch,Germany,"Landorus Therian, Heatran, Baxcalibur, Amoonguss, Rapid Strike Urshifu, Flutter Mane"
49,1011,Roberto Porretti,Italy,"Gholdengo, Pelipper, Landorus Therian, Amoonguss, Iron Hands, Basculegion"
50,2590,Joan Poyato Barberá,Spain,"Volcarona, Gothitelle, Landorus Therian, Iron Hands, Rapid Strike Urshifu, Scream Tail"
51,2041,Alberto Fornaini,Italy,"Pelipper, Rillaboom, Rapid Strike Urshifu, Flutter Mane, Landorus Therian, Hisuian Goodra"
52,2591,Alberto Cañuelo Gómez,Spain,"Iron Hands, Tornadus, Single Strike Urshifu, Flutter Mane, Chi-Yu, Amoonguss"
53,2592,Giulio Fioretti,Italy,"Chien-Pao, Landorus Therian, Iron Hands, Amoonguss, Flutter Mane, Rapid Strike Urshifu"
54,2593,Andrea Fiorini,Italy,"Single Strike Urshifu, Ursaluna, Iron Hands, Cresselia, Gholdengo, Tornadus"
55,779,Gilberto Goracci,Italy,"Iron Hands, Gholdengo, Landorus Therian, Pelipper, Amoonguss, Basculegion"
56,2594,Javi Balbuena Sánchez,Spain,"Heatran, Rapid Strike Urshifu, Chien-Pao, Cresselia, Amoonguss, Iron Hands"
