Posizione,ID_Giocatore,Nome_Giocatore,Nazionalità,Team_Pokémon
1,1066,Marco Hemantha Kaladura Silva,Italy,"Amoonguss, Tornadus, Iron Hands, Hisuian Arcanine, Gholdengo, Rapid Strike Urshifu"
2,2638,Thiago Lattanzi,Brazil,"Wellspring Mask Ogerpon, Regieleki, Female Indeedee, Tornadus, Chi-Yu, Flutter Mane"
3,660,David Rodriguez,Costa Rica,"Rapid Strike Urshifu, Rillaboom, Gholdengo, Tornadus, Hisuian Arcanine, Flutter Mane"
4,159,Riley Factura,USA,"Kingambit, Amoonguss, Rapid Strike Urshifu, Dragonite, Chien-Pao, Hearthflame Mask Ogerpon"
5,195,Joshua Lorcy,USA,"Landorus Therian, Roaring Moon, Iron Hands, Amoonguss, Heatran, Flutter Mane"
6,1481,Victor Medina,Spain,"Rapid Strike Urshifu, Hisuian Arcanine, Rillaboom, Flutter Mane, Tornadus, Chien-Pao"
7,3365,Esteban Molina,Costa Rica,"Landorus Therian, Flutter Mane, Wellspring Mask Ogerpon, Heatran, Cresselia, Iron Hands"
8,1088,Joseph Ugarte,USA,"Rapid Strike Urshifu, Hisuian Arcanine, Tornadus, Regidrago, Gholdengo, Rillaboom"
9,130,Chuppa Cross IV,USA,"Chien-Pao, Tornadus, Flutter Mane, Rapid Strike Urshifu, Rillaboom, Hisuian Arcanine"
10,2654,Daniel Bezerra,Brazil,"Armarouge, Ursaluna, Torkoal, Roaring Moon, Bronzong, Female Indeedee"
11,33,Eric Rios,Spain,"Landorus Therian, Roaring Moon, Heatran, Amoonguss, Iron Hands, Flutter Mane"
12,485,Leonardo Chinchilla,Costa Rica,"Chi-Yu, Iron Hands, Farigiraf, Iron Bundle, Landorus Therian, Ursaluna"
13,28,Alex Gómez Berna,Spain,"Dondozo, Heatran, Single Strike Urshifu, Salamence, Flutter Mane, Rillaboom"
14,1503,Giulio Tarlao,Italy,"Flutter Mane, Amoonguss, Landorus Therian, Heatran, Iron Hands, Single Strike Urshifu"
15,198,James Baek,USA,"Rapid Strike Urshifu, Flutter Mane, Brambleghast, Chi-Yu, Tornadus, Gholdengo"
16,16,Nico Davide Cognetta,Italy,"Rapid Strike Urshifu, Gholdengo, Regidrago, Hearthflame Mask Ogerpon, Tornadus, Rillaboom"
17,43,Eduardo Cunha,Portugal,"Landorus Therian, Wellspring Mask Ogerpon, Heatran, Iron Hands, Roaring Moon, Flutter Mane"
18,1084,Andrew Ding,USA,"Tornadus, Landorus, Gholdengo, Rapid Strike Urshifu, Iron Bundle, Brambleghast"
19,470,Renzo Navarro,Peru,"Iron Hands, Ogerpon, Rapid Strike Urshifu, Roaring Moon, Hisuian Arcanine, Gholdengo"
20,2478,Nicholas Kan,Australia,"Flutter Mane, Heatran, Landorus Therian, Iron Hands, Wellspring Mask Ogerpon, Amoonguss"
21,2810,Daniel Reyes,USA,"Regidrago, Gholdengo, Hisuian Arcanine, Tornadus, Rapid Strike Urshifu, Rillaboom"
22,3381,Jefferson Camelo,Brazil,"Hisuian Arcanine, Rillaboom, Roaring Moon, Rapid Strike Urshifu, Gholdengo, Clefairy"
23,3382,Daniel Rocha,Brazil,"Gholdengo, Hisuian Arcanine, Rapid Strike Urshifu, Clefairy, Rillaboom, Roaring Moon"
24,3634,Hugo Nascimento Vile dos Santos,Brazil,"Rillaboom, Iron Bundle, Heatran, Single Strike Urshifu, Flutter Mane, Iron Hands"
25,1,Baris Akcos,Germany,"Landorus Therian, Amoonguss, Roaring Moon, Iron Hands, Heatran, Flutter Mane"
26,3009,Kenneth Tirado Hernández,USA,"Heatran, Landorus Therian, Amoonguss, Roaring Moon, Iron Hands, Flutter Mane"
27,175,Paul Ruiz,Ecuador,"Sinistcha, Chien-Pao, Kingambit, Iron Hands, Volcarona, Landorus Therian"
28,338,Dylan Salvanera,USA,"Rillaboom, Gholdengo, Landorus Therian, Hearthflame Mask Ogerpon, Rapid Strike Urshifu, Tornadus"
29,2403,Alexander Canseco,Mexico,"Heatran, Amoonguss, Iron Hands, Flutter Mane, Tornadus, Rapid Strike Urshifu"
30,3384,Hanns Pizarro,Peru,"Landorus Therian, Flutter Mane, Cornerstone Mask Ogerpon, Iron Hands, Clefairy, Kingambit"
31,3385,BRUNO PIONTE,Brazil,"Iron Hands, Alolan Ninetales, Heatran, Amoonguss, Landorus Therian, Iron Bundle"
32,2808,Blooby B,USA,"Salamence, Amoonguss, Gholdengo, Scream Tail, Pelipper, Iron Hands"
33,3386,Martín Daniel Riquelme Zarza,Paraguay,"Tornadus, Amoonguss, Kingambit, Iron Hands, Hearthflame Mask Ogerpon, Rapid Strike Urshifu"
34,2143,Daniel Núñez,Mexico,"Landorus Therian, Baxcalibur, Amoonguss, Heatran, Iron Hands, Flutter Mane"
35,12,Javier Senorena,Spain,"Amoonguss, Landorus Therian, Roaring Moon, Heatran, Iron Hands, Flutter Mane"
36,3387,Luciano Muñoz Placencia,Chile,"Landorus Therian, Gholdengo, Rapid Strike Urshifu, Chien-Pao, Tornadus, Amoonguss"
37,188,Alberto Lara,USA,"Tornadus, Flutter Mane, Rapid Strike Urshifu, Hisuian Arcanine, Rillaboom, Gholdengo"
38,110,Carson Confer,USA,"Rapid Strike Urshifu, Regidrago, Rillaboom, Hisuian Arcanine, Gholdengo, Tornadus"
39,2649,Tomás Da Cruz,Brazil,"Chien-Pao, Heatran, Rapid Strike Urshifu, Farigiraf, Rillaboom, Dragonite"
40,3388,Ivo Giorgini,Argentina,"Dondozo, Tatsugiri, Chien-Pao, Alolan Ninetales, Glimmora, Dragonite"
41,301,Guillermo Castilla Diaz,Spain,"Gholdengo, Weezing, Brambleghast, Rapid Strike Urshifu, Hisuian Arcanine, Roaring Moon"
42,1028,James Evans,USA,"Gothitelle, Gholdengo, Roaring Moon, Hisuian Arcanine, Ogerpon, Rapid Strike Urshifu"
43,1705,Iván Casanova,Chile,"Gholdengo, Iron Hands, Rapid Strike Urshifu, Amoonguss, Tornadus, Hisuian Arcanine"
44,3389,Fausto GOMEZ NIETO,Colombia,"Heatran, Landorus Therian, Iron Hands, Rillaboom, Flutter Mane, Tornadus"
45,3390,Gabriel Bispo,Brazil,"Kingambit, Iron Hands, Flutter Mane, Tornadus, Landorus Therian, Wellspring Mask Ogerpon"
46,3391,Arthur Katz,Brazil,"Sinistcha, Hisuian Arcanine, Rillaboom, Galarian Moltres, Rapid Strike Urshifu, Grimmsnarl"
47,185,Brandon Tuchtenhagen,USA,"Landorus Therian, Single Strike Urshifu, Iron Hands, Amoonguss, Gholdengo, Farigiraf"
48,2514,Dorian Quiñonez,Peru,"Landorus Therian, Chi-Yu, Dusclops, Iron Hands, Cornerstone Mask Ogerpon, Bloodmoon Ursaluna"
49,2312,Matin Moradi,USA,"Rillaboom, Hisuian Arcanine, Single Strike Urshifu, Heatran, Sinistcha, Milotic"
50,140,Federico Turano,Argentina,"Hisuian Arcanine, Rillaboom, Tornadus, Flutter Mane, Rapid Strike Urshifu, Gholdengo"
51,168,Justin Carris,USA,"Pelipper, Gholdengo, Farigiraf, Iron Hands, Amoonguss, Rapid Strike Urshifu"
52,3392,Francisco Gribaudo,Argentina,"Armarouge, Flutter Mane, Hisuian Lilligant, Torkoal, Single Strike Urshifu, Female Indeedee"
53,41,Sebastian Escalante,Argentina,"Amoonguss, Heatran, Landorus Therian, Flutter Mane, Iron Hands, Roaring Moon"
54,3393,Dylan Torres,Brazil,"Rillaboom, Roaring Moon, Hisuian Arcanine, Milotic, Iron Hands, Flutter Mane"
55,129,Nick Navarre,USA,"Roaring Moon, Grimmsnarl, Heatran, Sinistcha, Baxcalibur, Alolan Ninetales"
56,3246,Dominik Gliatis,USA,"Flutter Mane, Iron Hands, Landorus Therian, Heatran, Wellspring Mask Ogerpon, Cresselia"
57,2645,Guilherme de Oliveira Queiroz,Brazil,"Flutter Mane, Regieleki, Wellspring Mask Ogerpon, Female Indeedee, Tornadus, Chi-Yu"
58,3394,Fábio Lima,Brazil,"Torkoal, Cornerstone Mask Ogerpon, Female Indeedee, Hisuian Lilligant, Armarouge, Ursaluna"
59,483,Daniel Saenz,Peru,"Single Strike Urshifu, Staraptor, Ursaluna, Scream Tail, Clefairy, Farigiraf"
60,3395,Camilo Diaz,Chile,"Rillaboom, Tornadus, Flutter Mane, Empoleon, Landorus Therian, Rapid Strike Urshifu"
61,1713,Pablo Torres,Chile,"Iron Hands, Kingambit, Hearthflame Mask Ogerpon, Flutter Mane, Landorus Therian, Gastrodon"
62,3396,Renan Gomes,Brazil,"Amoonguss, Farigiraf, Torkoal, Kingambit, Hearthflame Mask Ogerpon, Hisuian Lilligant"
63,3397,Pedro Souza,Brazil,"Hearthflame Mask Ogerpon, Tinkaton, Wash Rotom, Female Indeedee, Tornadus, Single Strike Urshifu"
64,3398,Pedro Soares Fialdini,Brazil,"Kingambit, Amoonguss, Dragonite, Hearthflame Mask Ogerpon, Rapid Strike Urshifu, Chien-Pao"
65,1616,Zackary Thornberg,USA,"Hearthflame Mask Ogerpon, Gholdengo, Tornadus, Flutter Mane, Rapid Strike Urshifu, Scream Tail"
66,3399,Rafael Morales,Brazil,"Garchomp, Gholdengo, Rapid Strike Urshifu, Hearthflame Mask Ogerpon, Tornadus, Flutter Mane"
67,2647,Carlos Júnior,Brazil,"Landorus Therian, Chi-Yu, Iron Hands, Wellspring Mask Ogerpon, Kingambit, Flutter Mane"
68,529,Estephan Valdebenito,Chile,"Iron Hands, Heatran, Landorus Therian, Iron Bundle, Gholdengo, Amoonguss"
69,3400,Lorenzo Tonetti,Brazil,"Hearthflame Mask Ogerpon, Single Strike Urshifu, Rillaboom, Gholdengo, Tornadus, Landorus Therian"
70,3401,Tiago Pimentel,Brazil,"Rillaboom, Iron Hands, Hisuian Arcanine, Gholdengo, Rapid Strike Urshifu, Tornadus"
71,146,Gabriel Agati,Brazil,"Wellspring Mask Ogerpon, Flutter Mane, Iron Hands, Single Strike Urshifu, Heatran, Landorus Therian"
72,1096,Juan Salerno,Argentina,"Dondozo, Flutter Mane, Heatran, Single Strike Urshifu, Rillaboom, Salamence"
73,3402,Adam Ibrahim,N/A,"Alolan Ninetales, Baxcalibur, Heatran, Landorus Therian, Iron Hands, Wellspring Mask Ogerpon"
74,3403,Gabriel Menegon,Brazil,"Gholdengo, Amoonguss, Landorus Therian, Rapid Strike Urshifu, Tornadus, Farigiraf"
75,3404,Philip Puertas,Brazil,"Landorus Therian, Amoonguss, Chi-Yu, Iron Hands, Wellspring Mask Ogerpon, Tornadus"
76,3405,Caio Lattanzi,Brazil,"Landorus Therian, Amoonguss, Iron Hands, Flutter Mane, Heatran, Roaring Moon"
77,469,Cristhian Andrade,Brazil,"Wellspring Mask Ogerpon, Landorus Therian, Heatran, Iron Hands, Amoonguss, Chien-Pao"
78,2644,Leonardo Ritter,Brazil,"Armarouge, Sneasler, Roaring Moon, Female Indeedee, Rapid Strike Urshifu, Flutter Mane"
79,153,Diego Ferreira,Chile,"Chi-Yu, Gallade, Female Indeedee, Landorus Therian, Torkoal, Galarian Articuno"
80,3406,Gustavo kengo,Brazil,"Roaring Moon, Rillaboom, Rapid Strike Urshifu, Tornadus, Hisuian Arcanine, Gholdengo"
81,3407,Guilherme Carvalho,Brazil,"Landorus Therian, Iron Hands, Roaring Moon, Heatran, Flutter Mane, Alolan Ninetales"
82,3408,Weslei Henrique Almeida Silva,Brazil,"Dondozo, Glimmora, Tatsugiri, Hearthflame Mask Ogerpon, Iron Hands, Alolan Ninetales"
83,2641,Breno Silva,Brazil,"Chien-Pao, Flutter Mane, Iron Hands, Landorus Therian, Rapid Strike Urshifu, Tornadus"
84,3267,Javier Nain,Chile,"Hisuian Arcanine, Rapid Strike Urshifu, Rillaboom, Chien-Pao, Hearthflame Mask Ogerpon, Sylveon"
85,382,Sohaib Mufti,USA,"Landorus Therian, Roaring Moon, Wellspring Mask Ogerpon, Heatran, Flutter Mane, Iron Hands"
86,1710,Camilo Liberona,Chile,"Amoonguss, Hisuian Arcanine, Farigiraf, Iron Hands, Alolan Ninetales, Galarian Moltres"
87,3409,Thiago Barbosa,Brazil,"Hisuian Arcanine, Gholdengo, Rapid Strike Urshifu, Tornadus, Rillaboom, Regidrago"
88,899,Sebastian Reyes,Chile,"Wellspring Mask Ogerpon, Roaring Moon, Flutter Mane, Heatran, Landorus Therian, Iron Hands"
89,1704,Joaquín Salerno,Argentina,"Salamence, Rillaboom, Heatran, Single Strike Urshifu, Dondozo, Flutter Mane"
90,3410,Rodrigo Pereira,Uruguay,"Iron Hands, Landorus Therian, Flutter Mane, Wellspring Mask Ogerpon, Roaring Moon, Heatran"
91,3411,Diego Sebastián Ortiz Sánchez,Peru,"Wellspring Mask Ogerpon, Iron Hands, Flutter Mane, Chien-Pao, Heatran, Landorus Therian"
92,2639,David Assato,Brazil,"Bloodmoon Ursaluna, Chien-Pao, Dragonite, Iron Hands, Dusclops, Wellspring Mask Ogerpon"
93,3412,João Gonçalves,Brazil,"Rapid Strike Urshifu, Gholdengo, Hisuian Arcanine, Clefairy, Rillaboom, Roaring Moon"
94,438,Javier Parada,Chile,"Rillaboom, Flutter Mane, Tornadus, Hisuian Arcanine, Rapid Strike Urshifu, Chien-Pao"
95,506,Nicolas del Campo,Chile,"Weezing, Flutter Mane, Iron Hands, Wellspring Mask Ogerpon, Landorus Therian, Roaring Moon"
96,3413,Ami Morais,Brazil,"Iron Hands, Glimmora, Chi-Yu, Alolan Ninetales, Dondozo, Tatsugiri Stretchy Form"
97,217,Jean Paul Lopez Buiza,Peru,"Iron Hands, Iron Bundle, Chi-Yu, Farigiraf, Rapid Strike Urshifu, Amoonguss"
98,3414,Luciano Begot,Brazil,"Amoonguss, Iron Hands, Tornadus, Hisuian Arcanine, Rapid Strike Urshifu, Gholdengo"
99,3415,ruan carvalho,Brazil,"Oranguru, Flutter Mane, Bloodmoon Ursaluna, Farigiraf, Hearthflame Mask Ogerpon, Iron Bundle"
100,3416,Pedro Cadaval,Brazil,"Heatran, Amoonguss, Iron Hands, Cresselia, Landorus Therian, Flutter Mane"
101,3417,Kyara Zepeda,Chile,"Armarouge, Torkoal, Annihilape, Ursaluna, Female Indeedee, Sylveon"
102,2656,Christian Rangel,Brazil,"Landorus Therian, Tornadus, Amoonguss, Rapid Strike Urshifu, Gholdengo, Farigiraf"
103,3418,Reynord González,Costa Rica,"Tornadus, Rapid Strike Urshifu, Chien-Pao, Flutter Mane, Hisuian Arcanine, Rillaboom"
104,1082,Felipe Casas,Chile,"Gholdengo, Landorus Therian, Tornadus, Rapid Strike Urshifu, Amoonguss, Chien-Pao"
105,484,Manuel Espiritu,Peru,"Chien-Pao, Rapid Strike Urshifu, Tornadus Therian, Flutter Mane, Rillaboom, Hisuian Arcanine"
106,2552,Raul Gioielli,Brazil,"Hisuian Arcanine, Amoonguss, Rapid Strike Urshifu, Kingambit, Flutter Mane, Tornadus"
107,2012,Renaud Dutarque,France,"Landorus Therian, Flutter Mane, Chien-Pao, Heatran, Amoonguss, Iron Hands"
108,1573,Kyle Ayala,USA,"Dusclops, Iron Hands, Chi-Yu, Landorus Therian, Bloodmoon Ursaluna, Amoonguss"
109,749,David de Pedro,Italy,"Iron Hands, Rapid Strike Urshifu, Gholdengo, Tornadus, Hisuian Arcanine, Amoonguss"
110,3419,Renzo Hernández,Chile,"Rillaboom, Sylveon, Rapid Strike Urshifu, Hearthflame Mask Ogerpon, Chien-Pao, Hisuian Arcanine"
111,402,Javier Valdes,Chile,"Pelipper, Gholdengo, Gothitelle, Iron Bundle, Rapid Strike Urshifu, Amoonguss"
112,2655,Gian Pierre Gustavo Rodriguez Peralta,Peru,"Gholdengo, Roaring Moon, Chi-Yu, Iron Hands, Wellspring Mask Ogerpon, Landorus Therian"
113,3420,Danilo Martins Pinheiro,Brazil,"Iron Hands, Heatran, Rillaboom, Iron Bundle, Landorus Therian, Hearthflame Mask Ogerpon"
114,3421,Matheus Tassara,Brazil,"Flutter Mane, Landorus Therian, Heatran, Rillaboom, Dragonite, Tornadus"
115,3422,Pedro Israel Vallejos Diaz,Peru,"Amoonguss, Iron Bundle, Chi-Yu, Landorus Therian, Iron Hands, Flutter Mane"
116,3423,Maurício Rodrigues,Brazil,"Iron Hands, Chi-Yu, Grimmsnarl, Gastrodon, Flutter Mane, Annihilape"
117,1931,Ofomezie Emelle,USA,"Iron Hands, Pelipper, Farigiraf, Rapid Strike Urshifu, Amoonguss, Gholdengo"
118,2603,Orlando CANDELARESI,France,"Roaring Moon, Flutter Mane, Amoonguss, Landorus Therian, Heatran, Iron Hands"
119,1480,Stefan Mott,Switzerland,"Chien-Pao, Rapid Strike Urshifu, Amoonguss, Gholdengo, Landorus Therian, Tornadus"
120,3424,Gonzalo Barrera,Peru,"Farigiraf, Rapid Strike Urshifu, Rillaboom, Chien-Pao, Heatran, Dragonite"
